spanish	japanese	type	typeName	exEs	exEn	exJa
ciudad	都市	f	女性名詞	Vivo en esta ciudad.	I live in this city.	私はこの街に住んでいます。
nombre	名前	m	男性名詞	¿Cuál es tu nombre?	What is your name?	お名前は何ですか？
país	国	m	男性名詞	Es un país hermoso.	It is a beautiful country.	美しい国です。
hora	時間、時刻	f	女性名詞	¿Qué hora es?	What time is it?	今何時ですか？
calle	通り	f	女性名詞	Cruza la calle.	Cross the street.	通りを渡りなさい。
verdad	真実	f	女性名詞	Es la verdad.	It's the truth.	それは真実です。
desarrollo	開発、発展	m	男性名詞	Desarrollo de software.	Software development.	ソフトウェア開発。
desafío	挑戦、課題	m	男性名詞	Es un nuevo desafío.	It's a new challenge.	新しい挑戦です。
bueno	良い	adj	形容詞	¡Es muy bueno!	It's very good!	とても良いですね！
malo	悪い	adj	形容詞	No es una mala idea.	It's not a bad idea.	悪いアイデアではない。
grande	大きい	adj	形容詞	Una casa grande.	A big house.	大きな家。
pequeño	小さい	adj	形容詞	Un detalle pequeño.	A small detail.	小さな詳細。
nuevo	新しい	adj	形容詞	Tengo un nuevo plan.	I have a new plan.	新しい計画があります。
viejo	古い	adj	形容詞	Un amigo viejo.	An old friend.	古い友人。
primero	最初の	adj	形容詞	Es el primer paso.	It is the first step.	これが一歩目です。
último	最後の、最近の	adj	形容詞	La última versión.	The latest version.	最新バージョン。
mismo	同じ	adj	形容詞	Es lo mismo.	It's the same thing.	同じことです。
otro	別の	adj	形容詞	Otra pregunta, por favor.	Another question, please.	もう一つ質問をお願いします。
mucho	たくさんの	adj	形容詞	Muchas gracias.	Thank you very much.	本当にありがとうございます。
poco	少ない、少しの	adj	形容詞	Un poco de tiempo.	A little time.	少しの時間。
importante	重要な	adj	形容詞	Es un dato importante.	It is important data.	重要なデータです。
posible	可能な	adj	形容詞	Lo antes posible.	As soon as possible.	できるだけ早く。
fácil	簡単な	adj	形容詞	Es muy fácil.	It is very easy.	とても簡単です。
difícil	難しい	adj	形容詞	Es un examen difícil.	It's a difficult exam.	難しい試験です。
constante	一定の、絶え間ない	adj	形容詞	Un esfuerzo constante.	A constant effort.	絶え間ない努力。
ahora	今	adv	副詞	Empieza ahora.	Start now.	今すぐ始めなさい。
hoy	今日	adv	副詞	Hoy es un gran día.	Today is a great day.	今日は素晴らしい日だ。
siempre	いつも	adv	副詞	Siempre estás aquí.	You are always here.	君はいつもここにいるね。
nunca	決して〜ない	adv	副詞	Nunca me rindo.	I never give up.	絶対に諦めない。
también	〜もまた	adv	副詞	Yo también quiero ir.	I also want to go.	私も行きたいです。
tampoco	〜もまた〜ない	adv	副詞	Tampoco lo sé.	I don't know either.	私もそれを知りません。
muy	とても	adv	副詞	Muy bien, gracias.	Very well, thank you.	とても良いです、ありがとう。
más	より多く	adv	副詞	Un poco más.	A little more.	もう少し。
menos	より少なく	adv	副詞	Más o menos.	More or less.	だいたい。
aquí	ここ	adv	副詞	Ven aquí.	Come here.	ここに来て。
allí	そこ、あそこ	adv	副詞	Está allí.	It is there.	あそこにあります。
bien	よく、上手く	adv	副詞	Todo está bien.	Everything is fine.	すべて順調です。
así	そのように	adv	副詞	Así es.	That's right.	その通りです。
casi	ほとんど	adv	副詞	Casi termino.	I'm almost finished.	もうすぐ終わります。
luego	後で	adv	副詞	Hasta luego.	See you later.	また後で。
entonces	それでは	conj	接続詞	¿Entonces qué hacemos?	So what do we do?	それではどうしましょうか？
pero	しかし	conj	接続詞	Sí, pero es difícil.	Yes, but it's difficult.	はい、でも難しいです。
porque	〜だから	conj	接続詞	Porque es importante.	Because it's important.	なぜなら重要だからです。
cuando	〜の時	conj	接続詞	Llama cuando llegues.	Call when you arrive.	着いたら電話して。
donde	〜する場所	conj	接続詞	¿Dónde está la estación?	Where is the station?	駅はどこですか？
como	〜のように	conj	接続詞	Hazlo como quieras.	Do it as you like.	好きなようにやりなさい。
si	もし〜ならば	conj	接続詞	Si tienes tiempo, ven.	If you have time, come.	時間があったら来てね。
gracias	ありがとう	interj	間投詞	Muchas gracias por todo.	Thank you very much for everything.	いろいろとありがとう。
afirmar	主張する、断言する	v	動詞	El experto afirmó su teoría.	The expert affirmed his theory.	専門家は自身の理論を主張した。
asumir	引き受ける、想定する	v	動詞	Debemos asumir el riesgo.	We must assume the risk.	私たちはリスクを引き受けなければならない。
comprobar	確認する、証明する	v	動詞	Voy a comprobar los datos.	I am going to check the data.	データを確認します。
demostrar	証明する、実演する	v	動詞	Demostró su gran habilidad.	He demonstrated his great skill.	彼は素晴らしい能力を証明した。
determinar	決定する、特定する	v	動詞	Determinar las causas del error.	Determine the causes of the error.	エラーの原因を特定する。
evaluar	評価する、査定する	v	動詞	Evaluamos el rendimiento anual.	We evaluate the annual performance.	私たちは年間パフォーマンスを評価します。
examinar	検証する、調べる	v	動詞	Examinar el documento con atención.	Examine the document carefully.	書類を慎重に調べる。
identificar	特定する、確認する	v	動詞	Identificar el problema principal.	Identify the main problem.	問題の核心を特定する。
interpretar	解釈する、通訳する	v	動詞	¿Cómo interpretas estos resultados?	How do you interpret these results?	これらの結果をどう解釈しますか？
justificar	正当化する、理由を述べる	v	動詞	Tienes que justificar tu decisión.	You have to justify your decision.	決定の理由を説明しなければならない。
observar	観察する、注視する	v	動詞	Observamos los cambios detalladamente.	We observe the changes in detail.	私たちは変化を詳細に観察する。
percibir	知覚する、察知する	v	動詞	Puedo percibir la diferencia.	I can perceive the difference.	違いを察知することができる。
adaptar	適応させる、順応する	v	動詞	Adaptarse al nuevo entorno.	Adapt to the new environment.	新しい環境に適応する。
aplicar	適用する、応用する	v	動詞	Aplicar la nueva regla.	Apply the new rule.	新しいルールを適用する。
afrontar	立ち向かう、直面する	v	動詞	Afrontar los desafíos futuros.	Face future challenges.	将来の課題に立ち向かう。
alcanzar	達する、到達する	v	動詞	Alcanzar el nivel deseado.	Reach the desired level.	目標とするレベルに到達する。
aportar	貢献する、提供する	v	動詞	Aportar nuevas ideas.	Contribute new ideas.	新しいアイデアを提供する。
aprobar	承認する、合格する	v	動詞	Aprobar el presupuesto oficial.	Approve the official budget.	公式予算を承認する。
asegurar	確保する、保証する	v	動詞	Asegurar la calidad del producto.	Ensure the quality of the product.	製品の品質を確保する。
aumentar	増加させる、増える	v	動詞	Aumentar las ventas este mes.	Increase sales this month.	今月の売上を伸ばす。
colaborar	協力する、共同作業する	v	動詞	Colaborar con otros equipos.	Collaborate with other teams.	他のチームと協力する。
comparar	比較する	v	動詞	Comparar dos opciones distintas.	Compare two different options.	異なる2つの選択肢を比較する。
conducir	導く、運転する	v	動詞	Esto puede conducir al éxito.	This can lead to success.	これが成功へと導く可能性がある。
confirmar	確認する、確定する	v	動詞	Confirmar la asistencia hoy.	Confirm attendance today.	本日の出席を確定する。
consolidar	固める、統合・強固にする	v	動詞	Consolidar la posición en el mercado.	Consolidate market position.	市場での地位を固める。
contribuir	寄与する、貢献する	v	動詞	Contribuir al desarrollo local.	Contribute to local development.	地域社会の開発に貢献する。
coordinar	調整する、コーディネートする	v	動詞	Coordinar las tareas del grupo.	Coordinate group tasks.	グループのタスクを調整する。
definir	定義する、明確にする	v	動詞	Definir los objetivos clave.	Define the key objectives.	鍵となる目標を明確にする。
diseñar	設計する、デザインする	v	動詞	Diseñar un nuevo sistema.	Design a new system.	新しいシステムを設計する。
ejecutar	実行する、遂行する	v	動詞	Ejecutar el plan estratégico.	Execute the strategic plan.	戦略計画を実行に移す。
elaborar	作成する、精緻に作る	v	動詞	Elaborar un informe detallado.	Prepare a detailed report.	詳細なレポートを作成する。
facilitar	容易にする、提供する	v	動詞	Facilitar el acceso a la información.	Facilitate access to information.	情報へのアクセスを容易にする。
generar	生み出す、発生させる	v	動詞	Generar nuevos ingresos.	Generate new revenue.	新しい収益を生み出す。
gestionar	管理・運用する、手配する	v	動詞	Gestionar los recursos eficientemente.	Manage resources efficiently.	リソースを効率的に管理する。
implementar	実装する、導入する	v	動詞	Implementar un nuevo proceso.	Implement a new process.	新しいプロセスを導入する。
optimizar	最適化する	v	動詞	Optimizar el tiempo de respuesta.	Optimize response time.	応答時間を最適化する。
prever	予測する、予見する	v	動詞	Es difícil prever el futuro.	It is difficult to foresee the future.	未来を予測するのは困難だ。
renovar	刷新する、更新する	v	動詞	Renovar el contrato anual.	Renew the annual contract.	年間契約を更新する。
transformar	変革する、変化させる	v	動詞	Transformar la estructura digital.	Transform the digital structure.	デジタル構造を変革する。
actitud	態度、姿勢	f	女性名詞	Tener una actitud positiva.	Have a positive attitude.	前向きな姿勢を持つ。
análisis	分析、解析	m	男性名詞	Un análisis riguroso de datos.	A rigorous data analysis.	厳密なデータ分析。
capacidad	能力、容量	f	女性名詞	Demostrar capacidad técnica.	Demonstrate technical capability.	技術的能力を示す。
compromiso	約束、コミットメント、責任	m	男性名詞	Demostrar compromiso total.	Show full commitment.	全面的なコミットメントを示す。
concepto	概念、コンセプト	m	男性名詞	Entender el concepto básico.	Understand the basic concept.	基本概念を理解する。
criterio	基準、判断規範	m	男性名詞	Establecer criterios claros.	Establish clear criteria.	明確な基準を確立する。
eficiencia	効率性、能率	f	女性名詞	Mejorar la eficiencia operativa.	Improve operational efficiency.	業務の効率性を向上させる。
estrategia	戦略	f	女性名詞	Una estrategia a largo plazo.	A long-term strategy.	長期的な戦略。
estructura	構造、仕組み	f	女性名詞	La estructura del proyecto.	The project structure.	プロジェクトの構造。
factor	要因、要素	m	男性名詞	Un factor determinante.	A determining factor.	決定的な要因。
función	機能、役割	f	女性名詞	La función principal del sistema.	The main function of the system.	システムの主な機能。
gestión	管理、運営	f	女性名詞	Gestión de proyectos complejos.	Management of complex projects.	複雑なプロジェクトの管理。
hipótesis	仮説	f	女性名詞	Confirmar la hipótesis inicial.	Confirm the initial hypothesis.	初期の仮説を確認する。
innovación	革新、イノベーション	f	女性名詞	Impulsar la innovación continua.	Drive continuous innovation.	継続的な革新を推進する。
tendencia	傾向、トレンド	f	女性名詞	Seguir las tendencias del mercado.	Follow market trends.	市場のトレンドを追う。
proceso	プロセス、過程	m	男性名詞	Un proceso automatizado.	An automated process.	自動化されたプロセス。
revisión	見直し、点検	f	女性名詞	Hacer una revisión profunda.	Conduct a thorough review.	徹底的な見直しを行う。
riesgo	リスク、危険	m	男性名詞	Evaluar el riesgo financiero.	Evaluate the financial risk.	財務リスクを評価する。
sector	分野、部門	m	男性名詞	El sector tecnológico.	The technology sector.	テクノロジー分野。
sistema	システム、体系	m	男性名詞	Un sistema integrado.	An integrated system.	統合されたシステム。
adecuado	適切な、適した	adj	形容詞	Buscar el lugar adecuado.	Find the appropriate place.	適切な場所を探す。
complejo	複雑な	adj	形容詞	Un problema muy complejo.	A very complex problem.	非常に複雑な問題。
crítico	批判的な、危機的な、決定的な	adj	形容詞	Un momento crítico para la empresa.	A critical moment for the company.	会社にとって決定的な瞬間。
eficiente	効率的な	adj	形容詞	Un flujo de trabajo eficiente.	An efficient workflow.	効率的なワークフロー。
evidente	明白な、明らかな	adj	形容詞	Es una ventaja evidente.	It is an obvious advantage.	それは明白な利点だ。
flexible	柔軟な、融通の利く	adj	形容詞	Horario de trabajo flexible.	Flexible working hours.	柔軟な勤務時間。
fundamental	根本的な、非常に重要な	adj	形容詞	Es un principio fundamental.	It is a fundamental principle.	それは根本的な原則だ。
inevitable	避けられない、不可避の	adj	形容詞	Un cambio inevitable.	An inevitable change.	避けられない変化。
innovador	革新的な	adj	形容詞	Un enfoque muy innovador.	A very innovative approach.	非常に革新的なアプローチ。
integral	総合的な、欠かせない	adj	形容詞	Una solución integral.	A comprehensive solution.	総合的な解決策。
notable	顕著な、目覚ましい	adj	形容詞	Un progreso notable.	Remarkable progress.	目覚ましい進歩。
preciso	正確な、まさにその	adj	形容詞	Datos muy precisos.	Very precise data.	非常に正確なデータ。
principal	主要な、メインの	adj	形容詞	La razón principal.	The main reason.	主要な理由。
relevante	関連性のある、重要・顕著な	adj	形容詞	Información relevante.	Relevant information.	関連する重要な情報。
significativo	重要な、意義深い	adj	形容詞	Un aumento significativo.	A significant increase.	意味のある大きな増加。
actualmente	現在は、今や	adv	副詞	Actualmente vivo aquí.	Currently I live here.	現在はここに住んでいます。
definitivamente	決定的に、間違いなく	adv	副詞	Definitivamente es mejor.	It is definitely better.	間違いなくそちらの方が良い。
especialmente	特に、とりわけ	adv	副詞	Especialmente en verano.	Especially in summer.	特に夏場において。
eventualmente	時折、ひょっとすると	adv	副詞	Eventualmente todo cambiará.	Possibly everything will change.	ひょっとするとすべてが変わるかもしれない。
fundamentalmente	根本的に、基本的に	adv	副詞	Es fundamentalmente correcto.	It is fundamentally correct.	根本的に正しい。
obviamente	明らかに、言うまでもなく	adv	副詞	Obviamente no es fácil.	Obviously it is not easy.	言うまでもなく簡単ではない。
posteriormente	その後で、追って	adv	副詞	Lo analizaremos posteriormente.	We will analyze it later.	後ほどそれを分析します。
principalmente	主として、主に	adv	副詞	Trabajo principalmente con datos.	I mainly work with data.	主にデータを扱って仕事をしています。
recientemente	最近、近頃	adv	副詞	He leído un libro recientemente.	I read a book recently.	最近本を読みました。
relativamente	比較的	adv	副詞	Es un método relativamente nuevo.	It is a relatively new method.	比較的新しい方法です。
a través de	〜を通して、〜経由で	phrase	熟語・成句	A través del análisis de datos.	Through data analysis.	データ分析を通して。
al mismo tiempo	同時に	phrase	熟語・成句	Al mismo tiempo, hay riesgos.	At the same time, there are risks.	同時に、リスクも存在する。
con el fin de	〜する目的で	phrase	熟語・成句	Con el fin de mejorar la calidad.	In order to improve quality.	品質を向上させる目的で。
con respecto a	〜に関して	phrase	熟語・成句	Con respecto a este problema.	With respect to this problem.	この問題に関して。
de modo que	〜となるように、したがって	conj	接続詞	Trabaja de modo que funcione.	Work so that it functions.	しっかり機能するように作業しなさい。
en cambio	それに対して、一方で	phrase	熟語・成句	En cambio, la segunda opción es mejor.	In contrast, the second option is better.	それに対して、2つ目の選択肢の方が良い。
en consecuencia	その結果として	phrase	熟語・成句	En consecuencia, tomamos medidas.	Consequently, we took measures.	その結果、私たちは対策を講じた。
en todo caso	いずれにせよ、ともかく	phrase	熟語・成句	En todo caso, debemos continuar.	In any case, we must continue.	いずれにせよ、私たちは続けなければならない。
hasta cierto punto	ある程度までは	phrase	熟語・成句	Es verdad hasta cierto punto.	It is true up to a point.	ある程度までは事実だ。
por el contrario	反対に、それどころか	phrase	熟語・成句	Por el contrario, esto ayuda.	On the contrary, this helps.	反対に、これは助けになる。
sin duda	疑いなく、確実に	phrase	熟語・成句	Sin duda es el mejor camino.	Without a doubt it is the best way.	疑いなくそれが最善の道だ。
tarde o temprano	遅かれ早かれ	phrase	熟語・成句	Tarde o temprano llegará.	Sooner or later it will arrive.	遅かれ早かれそれはやってくる。
tener en cuenta	考慮に入れる	phrase	熟語・成句	Hay que tener en cuenta el costo.	One must take into account the cost.	コストを考慮に入れる必要がある。
vale la pena	〜する価値がある	phrase	熟語・成句	Vale la pena intentarlo.	It is worth trying.	試してみる価値はある。
ya que	〜である以上、〜なので（= since / as）	conj	接続詞	Ya que estás aquí, hablemos.	Since you are here, let's talk.	せっかくここにいるのだから、話しましょう。
bueno	えーと、そうだね、じゃあ	interj	間投詞	Bueno, vamos a empezar.	Well, let's start.	じゃあ、始めようか。
o sea	つまり、要するに	phrase	熟語	O sea, ¿no quieres ir?	In other words, you don't want to go?	つまり、行きたくないってこと？
la verdad	実は、正直なところ	phrase	熟語	La verdad, no me gusta mucho.	To be honest, I don't really like it.	正直、あまり好きじゃないんだ。
por cierto	ところで、ちなみに	phrase	熟語	Por cierto, ¿qué hiciste ayer?	By the way, what did you do yesterday?	ところで、昨日は何したの？
en fin	まあ何はともあれ、とにかく	phrase	熟語	En fin, todo salió bien.	Anyway, everything turned out well.	まあ何はともあれ、すべて上手くいったよ。
claro	もちろん、なるほど、そうだよね	interj	間投詞	¡Claro que sí!	Of course!	もちろんだよ！
seguro	たしかに、きっと	adv	副詞	Seguro que viene.	I'm sure he is coming.	きっと彼は来るよ。
¡Qué lástima!	それは残念！	interj	間投詞	¿No puedes venir? ¡Qué lástima!	You can't come? What a pity!	来られないの？残念！
¡Qué bueno!	よかったね！最高！	interj	間投詞	¿Pasaste el examen? ¡Qué bueno!	You passed the exam? That's great!	試験受かったの？よかったね！
depende	〜による、場合による	v	動詞	Depende del tiempo.	It depends on the weather.	天気次第かな。
quedarse	とどまる、〜に残る	v	動詞	Me quedo en casa hoy.	I'm staying at home today.	今日は家にいます。
olvidar	忘れる	v	動詞	Olvidé traer la llave.	I forgot to bring the key.	鍵を持ってくるのを忘れた。
cambiar	変える、変わる	v	動詞	Todo cambia rápido.	Everything changes quickly.	すべてが素早く変わる。
funcionar	機能する、上手くいく	v	動詞	Este plan funciona muy bien.	This plan works very well.	この計画はすごく上手くいっている。
sentirse	〜と感じる、〜な気分である	v	動詞	Me siento muy bien hoy.	I feel very good today.	今日はとても気分が良いです。
quizás	たぶん、もしかすると	adv	副詞	Quizás vaya mañana.	Maybe I will go tomorrow.	もしかしたら明日行くかも。
de repente	突然、いきなり	adv	副詞	De repente empezó a llover.	Suddenly it started to rain.	突然雨が降り出した。
despacio	ゆっくり	adv	副詞	Habla más despacio, por favor.	Speak more slowly, please.	もう少しゆっくり話してください。
enseguida	すぐに、ただちに	adv	副詞	Vuelvo enseguida.	I'll be right back.	すぐ戻ります。
bastante	かなり、十分な	adv	副詞	Es bastante interesante.	It is quite interesting.	かなり面白いね。
esto	これ（指示代名詞）	other	代名詞	¿Qué es esto?	What is this?	これは何ですか？
eso	それ（指示代名詞）	other	代名詞	Eso es使いやすさ. / Eso es verdad.	That is true.	それは本当です。
alguien	誰か	other	代名詞	¿Hay alguien aquí?	Is there anyone here?	誰かここにいますか？
algo	何か	other	代名詞	Quiero comer algo.	I want to eat something.	何か食べたいです。
nada	何も〜ない	other	代名詞	No pasa nada.	Nothing is happening. / It's fine.	問題ないよ、何でもないよ。
cerca	近い、近くに	adv	副詞	Está muy cerca de aquí.	It is very close to here.	ここからとても近いです。
lejos	遠い、遠くに	adv	副詞	¿Está lejos la estación?	Is the station far away?	駅は遠いですか？
antes	以前に、前に	adv	副詞	Llegué antes que tú.	I arrived before you.	君より前に着いたよ。
después	後で、〜の後に	adv	副詞	Nos vemos después.	See you later.	また後で会いましょう。
ya	すでに、もう	adv	副詞	Ya estoy listo.	I am already ready.	もう準備ができました。
todavía	まだ、今なお	adv	副詞	Todavía no lo sé.	I still don't know it.	まだそれを知りません。
seguro	確信して、安全な	adj	形容詞	¿Estás seguro?	Are you sure?	確かですか（本気ですか）？
mismo	同じ（代名詞・強調）	adj	形容詞	Yo mismo lo hice.	I did it myself.	自分自身でそれをやりました。
parecerse	〜に似ている	v	動詞	Te pareces a tu padre.	You look like your father.	お父さんに似ているね。
darse cuenta	〜に気づく	phrase	熟語	Me di cuenta del error.	I realized the error.	エラー（間違い）に気づきました。
tratar	扱う、試みる（tratar de）	v	動詞	Trato de aprender todos los días.	I try to learn every day.	毎日学ぶように努めています。
significar	意味する	v	動詞	¿Qué significa esta palabra?	What does this word mean?	この単語はどういう意味ですか？
suponer	想定する、思い込む	v	動詞	Supongo que sí.	I suppose so.	そうだと思います（たぶんね）。
esperanza	希望	f	女性名詞	Tengo la esperanza de viajar.	I have the hope of traveling.	旅行に行けるという希望を持っています。
éxito	成功	m	男性名詞	¡Mucho éxito en tu proyecto!	Much success in your project!	プロジェクトの成功を祈っています！
opinión	意見、考え	f	女性名詞	¿Cuál es tu opinión al respecto?	What is your opinion on this matter?	これについての君の意見は何？
posibilidad	可能性	f	女性名詞	Existe la posibilidad de cambio.	There is a possibility of change.	変更の可能性があります。
solución	解決策、ソリューション	f	女性名詞	Encontramos una solución práctica.	We found a practical solution.	実用的な解決策を見つけました。
duda	疑問、ためらい	f	女性名詞	No tengo ninguna duda.	I have no doubt at all.	何の疑問（迷い）もありません。
propósito	目的、意図	m	男性名詞	¿Cuál es el propósito del plan?	What is the purpose of the plan?	その計画の目的は何ですか？
depender	依存する、〜次第である	v	動詞	Todo depende de la situación.	Everything depends on the situation.	すべては状況次第です。
sugerir	提案する	v	動詞	Te sugiero probar otra forma.	I suggest you try another way.	別の方法を試すことを提案します。
explicar	説明する	v	動詞	¿Puedes explicar esto de nuevo?	Can you explain this again?	これをもっと詳しく説明できますか？
aprovechar	活かす、活用する、利用する	v	動詞	Hay que aprovechar la oportunidad.	We must take advantage of the opportunity.	その機会を活かす必要があります。
evitar	避ける、防ぐ	v	動詞	Debemos evitar errores graves.	We must avoid serious mistakes.	重大なミスを避けなければならない。
suficiente	十分な	adj	形容詞	Tenemos tiempo suficiente.	We have enough time.	十分な時間があります。
necesario	必要な	adj	形容詞	Es necesario hacer una prueba.	It is necessary to run a test.	テストを行うことが必要です。
frecuente	頻繁な、度々の	adj	形容詞	Es un problema bastante frecuente.	It is a fairly frequent problem.	これはかなり頻繁に起きる問題です。
probablemente	たぶん、おそらく	adv	副詞	Probablemente sea la mejor opción.	It is probably the best option.	おそらくそれが最善の選択肢でしょう。
desafortunadamente	あいにく、残念ながら	adv	副詞	Desafortunadamente no puedo ir.	Unfortunately I cannot go.	残念ながら私は行けません。
sin embargo	しかしながら、けれども	conj	接続詞	Es difícil, sin embargo posible.	It is difficult, however possible.	難しいですが、しかし可能です。
por lo tanto	したがって、それゆえに	conj	接続詞	Por lo tanto, debemos decidir hoy.	Therefore, we must decide today.	したがって、今日決定する必要があります。
a menos que	〜でない限り（※要接続法）	conj	接続詞	No iré a menos que me llames.	I won't go unless you call me.	君が電話してくらない限り行かないよ。
en lugar de	〜の代わりに	phrase	熟語	Usamos agua en lugar de leche.	We use water instead of milk.	牛乳の代わりに水を使います。
por supuesto	もちろんです、当然ながら	phrase	熟語	Por supuesto que te ayudaré.	Of course I will help you.	もちろん手伝いますよ。
aconsejar	助言する、勧められる	v	動詞	Te aconsejo que estudies todos los días.	I advise you to study every day.	毎日勉強することをお勧めします。
advertir	警告する、気づかせる	v	動詞	El experto advirtió sobre los riesgos del proyecto.	The expert warned about the risks of the project.	専門家はプロジェクトのリスクについて警告した。
amenazar	脅かす、脅迫する	v	動詞	El cambio climático amenaza la biodiversidad.	Climate change threatens biodiversity.	気候変動は生物多様性を脅かしている。
añadir	追加する、付け加える	v	動詞	Quisiera añadir un punto clave a la discusión.	I would like to add a key point to the discussion.	議論に重要なポイントを1つ付け加えたいと思います。
anunciar	発表する、告知する	v	動詞	La empresa anunció el lanzamiento del nuevo producto.	The company announced the launch of the new product.	会社は新製品の発売を発表した。
asegurar	確信させる、保証する	v	動詞	Nos aseguró que todo estaría listo a tiempo.	He assured us that everything would be ready on time.	彼はすべて時間通りに準備できると約束してくれた。
atender	対応する、世話をする	v	動詞	Debemos atender las necesidades del cliente rápidamente.	We must attend to the customer's needs quickly.	私たちは顧客のニーズに迅速に対応しなければならない。
aumentar	増加する、増やす	v	動詞	La demanda de tecnología sigue aumentando este año.	The demand for technology continues to increase this year.	テクノロジーの需要は今年増加し続けている。
averiguar	調べる、突き止める	v	動詞	Voy a averiguar la causa principal del fallo.	I'm going to find out the main cause of the failure.	障害の主な原因を突き止めるつもりです。
